geoTime,latitude,longitude,altitude,course,horizontalAccuracy,verticalAccuracy,speed,status,activity,network,appStatus,dayTime
1712472283000,22.2303827760576,113.50382323288945,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472260000,22.235106823029454,113.50298647410119,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472199000,22.242284710049617,113.50030731532532,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472184000,22.243502585562833,113.50022567983831,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472160000,22.24370473901935,113.49882856427166,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472090000,22.24162048737149,113.49142195402958,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472052000,22.242402507123845,113.48653644613346,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472043000,22.243093913062037,113.48387527073024,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472030000,22.243450573371398,113.48218679038727,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472024000,22.24292184034705,113.48071748788317,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472008000,22.243751479337547,113.47747979083988,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712471986000,22.243541495020686,113.47450894487594,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712471968000,22.245931413645202,113.47039737923087,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712471939000,22.24586422964795,113.46392462143324,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712471813000,22.235208764879655,113.44606907098562,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712471772000,22.228254327094806,113.43566176078055,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712471742000,22.225651714788068,113.42984247846508,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712471703000,22.225295342105156,113.4218795363912,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712471637000,22.21384416141535,113.41219433396638,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712471588000,22.20828996446018,113.39928320673546,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712471535000,22.20650042832675,113.38737948224733,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712471514000,22.205627226300052,113.3824869720618,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712471499000,22.208910123608657,113.3770361445825,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712471420000,22.196948544357447,113.36612621648294,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712471389000,22.202799277205344,113.36208310100102,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712471360000,22.20717779539224,113.35840612325369,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712471267000,22.224269759349486,113.35294239886736,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712471164000,22.24173403477697,113.33185781594266,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712471074000,22.25536662282424,113.31328568231838,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712470985000,22.263153263755907,113.29010364974421,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712470891000,22.27271701173589,113.27263138510713,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712470866000,22.277085805092746,113.27099245023099,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712470862000,22.27795936491656,113.2706422596382,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712470857000,22.27900692707207,113.27036813727706,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712470751000,22.302403567951178,113.26223231701631,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712470633000,22.319670617014104,113.24789411986528,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712470462000,22.34555659322062,113.21555321884765,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712470361000,22.364786351065955,113.20470627118918,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712470272000,22.386272107945846,113.19871850215414,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712470168000,22.40893125388294,113.19421278049643,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712470054000,22.433752960469196,113.18711819051744,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469932000,22.456834921336736,113.17792777154787,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469912000,22.461463329259843,113.17656062833568,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469851000,22.47092267718901,113.16773456014911,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469827000,22.474679488146933,113.16454655614521,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469764000,22.487590876550733,113.15523741161347,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469734000,22.495237621876033,113.15302849274713,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469583000,22.518624137995754,113.1360574382968,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469566000,22.518107725677755,113.13474385439108,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469514000,22.521474623485535,113.13055230269026,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469378000,22.523652649175148,113.12552365441722,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469370000,22.525040280214867,113.1248792146452,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469351000,22.52679325876882,113.12500124411726,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469320000,22.529840642579934,113.12355044623558,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469282000,22.534153576544814,113.12137706915067,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469266000,22.53607050144711,113.12024581411603,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469258000,22.53765194296461,113.11974517539132,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469211000,22.54368073108049,113.11574623321825,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469173000,22.54893816865022,113.11352819857952,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469165000,22.550099584758513,113.11273444233652,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469118000,22.556383206706993,113.109322248498,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469056000,22.559738798534028,113.10801447785788,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712469048000,22.56059994281017,113.10766852338705,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712468920000,22.563445393551344,113.10649563092612,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712468913000,22.5642605294114,113.1060156329212,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712468906000,22.56524967107597,113.10556363959795,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712468894000,22.5665098450323,113.10491262119362,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712468878000,22.567794004303884,113.10428558908092,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712468631000,22.56914815578189,113.10367454657167,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712468571000,22.570055247143276,113.10312947350155,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712468536000,22.57088728372741,113.10197619936154,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
